Fecha;Interno;Km
11-07-2024;7105;236,11
11-07-2024;7106;278,82
11-07-2024;7107;172,12
11-07-2024;7108;228,07
11-07-2024;7110;222,78
11-07-2024;7111;241,96
11-07-2024;7112;175,26
11-07-2024;7114;241,2
11-07-2024;7115;214,23
11-07-2024;7116;255,05
11-07-2024;7117;247,48
11-07-2024;7119;260,19
11-07-2024;7120;257,68
11-07-2024;7121;214,8
11-07-2024;7122;210,04
11-07-2024;7123;260,82
11-07-2024;7124;105,19
11-07-2024;7125;196,7
11-07-2024;7130;159,35
11-07-2024;7131;198,12
11-07-2024;7132;210,58
11-07-2024;7133;252,56
11-07-2024;7134;159,18
11-07-2024;7135;162,6
11-07-2024;7137;240,66
11-07-2024;7138;196,21
12-07-2024;3001;265,04
12-07-2024;3002;274,93
12-07-2024;3003;260,34
12-07-2024;3004;239,81
12-07-2024;3005;239,28
12-07-2024;3006;255,61
12-07-2024;3007;240,07
12-07-2024;3008;188,33
12-07-2024;3009;171,67
12-07-2024;3011;239,15
12-07-2024;3012;245,2
12-07-2024;3013;271,65
12-07-2024;3014;264,57
12-07-2024;3015;193,92
12-07-2024;3097;179,18
12-07-2024;3098;251,08
12-07-2024;3099;268,86
12-07-2024;3100;126,12
12-07-2024;3101;179,34
12-07-2024;3102;265,46
12-07-2024;3103;205,33
12-07-2024;3104;220,48
12-07-2024;3105;178,45
12-07-2024;3106;165,44
12-07-2024;3107;157,88
12-07-2024;3108;164,14
12-07-2024;3109;304,58
12-07-2024;3110;65,14
12-07-2024;3111;255,16
12-07-2024;3112;246,18
12-07-2024;3113;213,19
12-07-2024;3114;205,39
12-07-2024;3115;214,68
12-07-2024;3116;270,02
12-07-2024;7015;193,03
12-07-2024;7016;210,89
12-07-2024;7017;83,06
12-07-2024;7018;237,65
12-07-2024;7019;206,55
12-07-2024;7020;264,48
12-07-2024;7021;245,76
12-07-2024;7022;130,45
12-07-2024;7023;180,56
12-07-2024;7024;183,94
12-07-2024;7040;293,1
12-07-2024;7071;240,3
12-07-2024;7079;232,5
12-07-2024;7080;241,19
12-07-2024;7100;224,52
12-07-2024;7101;254,47
12-07-2024;7102;221,92
12-07-2024;7103;217,47
12-07-2024;7104;207,63
12-07-2024;7105;191,94
12-07-2024;7106;209,64
12-07-2024;7107;237,09
12-07-2024;7108;156,39
12-07-2024;7110;202,19
12-07-2024;7111;215,05
12-07-2024;7112;225,02
12-07-2024;7114;181,2
12-07-2024;7115;232,41
12-07-2024;7116;253,51
12-07-2024;7117;227,68
12-07-2024;7119;236,18
12-07-2024;7120;231,95
12-07-2024;7121;260,95
12-07-2024;7122;246,66
12-07-2024;7123;284,22
12-07-2024;7124;177,83
12-07-2024;7125;201,25
12-07-2024;7130;205,08
12-07-2024;7131;149,14
12-07-2024;7132;275,37
12-07-2024;7133;249,98
12-07-2024;7134;185,23
12-07-2024;7135;208,51
12-07-2024;7137;243,62
12-07-2024;7138;241,09
13-07-2024;3001;199,98
13-07-2024;3002;225,62
13-07-2024;3003;233,57
13-07-2024;3004;187,96
13-07-2024;3005;175,33
13-07-2024;3006;221,22
13-07-2024;3007;179,21
13-07-2024;3008;182,98
13-07-2024;3009;195,01
13-07-2024;3011;189,58
13-07-2024;3012;193,1
13-07-2024;3013;296,11
13-07-2024;3014;206
13-07-2024;3015;39,36
13-07-2024;3097;156,95
13-07-2024;3098;284,87
13-07-2024;3099;237,92
13-07-2024;3100;151,61
13-07-2024;3101;190,74
13-07-2024;3102;220,4
13-07-2024;3104;219,05
13-07-2024;3105;195,83
13-07-2024;3106;209,97
13-07-2024;3107;191,64
13-07-2024;3108;207,96
13-07-2024;3109;187,87
13-07-2024;3110;15,41
13-07-2024;3111;189,95
13-07-2024;3112;178,04
13-07-2024;3113;195,78
13-07-2024;3114;254,48
13-07-2024;3115;235,82
13-07-2024;3116;172,32
13-07-2024;7015;53,99
13-07-2024;7016;149,64
13-07-2024;7017;105,86
13-07-2024;7018;124,98
13-07-2024;7019;108,82
13-07-2024;7020;97,93
13-07-2024;7021;138,53
13-07-2024;7023;21,71
13-07-2024;7024;61,73
13-07-2024;7040;152,71
13-07-2024;7071;128,26
13-07-2024;7079;206,06
13-07-2024;7080;178,26
13-07-2024;7100;200,57
